Packet,Throughput,averageDelay,deliveryRatio,DropRatio
100,226272 0.0156894 0.979452 0.0205479
200,199588 0.0131803 0.979612 0.0203883
300,184553 0.0122355 0.976963 0.0230366
400,208272 0.0144147 0.979535 0.0204651
500,158244 0.0126875 0.976801 0.023199
