Flow,Throughput,averageDelay,deliveryRatio,DropRatio
10,4.2188e+06 , 0.0790017 , 0.988019 , 0.0106393
20,4.31277e+06 , 0.0814894 , 0.972304 , 0.0226353
30,4.3603e+06 , 0.0867081 , 0.961407 , 0.0347334
40,4.39498e+06 , 0.0881105 , 0.955348 , 0.0410342
50,4.42835e+06 , 0.0882876 , 0.94824 , 0.0481186
