Node,Throughput,averageDelay,deliveryRatio,DropRatio
20,4.28831e+06 , 0.0838119 , 0.974856 , 0.0219892
40,4.30755e+06 , 0.0821755 , 0.973706 , 0.0225113
60,4.31479e+06 , 0.0816452 , 0.972049 , 0.0228025
80,4.31277e+06 , 0.0813675 , 0.972572 , 0.0224574
100,4.31032e+06 , 0.0828592 , 0.973095 , 0.0230351
