Packet,Throughput,averageDelay,deliveryRatio,DropRatio
100,7.61455e+07 , 0.0166459 , 0.997879 , 0.00121891
200,7.61455e+07 , 0.0166459 , 0.997879 , 0.00121891
300,7.61455e+07 , 0.0166459 , 0.997879 , 0.00121891
400,7.61455e+07 , 0.0166459 , 0.997879 , 0.00121891
500,7.61455e+07 , 0.0166459 , 0.997879 , 0.00121891
