Node,Throughput,averageDelay,deliveryRatio,DropRatio
20,9.78186e+07 , 0.0157977 , 0.998678 , 0.000615078
40,7.61455e+07 , 0.0166459 , 0.997879 , 0.00121891
60,7.6965e+07 , 0.0167123 , 0.998443 , 0.000876559
80,1.03974e+08 , 0.0110487 , 0.999104 , 5.89382e-05
100,7.68252e+07 , 0.0108982 , 0.99939 , 0.000143254
