Flow,Throughput,averageDelay,deliveryRatio,DropRatio
10,6.33765e+07 , 0.0139593 , 0.999244 , 0
20,7.61455e+07 , 0.0166459 , 0.997879 , 0.00121891
30,9.19701e+07 , 0.0157292 , 0.996928 , 0.00215317
40,8.22221e+07 , 0.0172749 , 0.993845 , 0.00518022
50,9.45565e+07 , 0.0163784 , 0.993708 , 0.00539276
