Flow,Throughput,averageDelay,deliveryRatio,DropRatio
10,421885 0.0289669 0.986586 0.0124884
20,408065 0.0307448 0.978189 0.020863
30,380552 0.0293386 0.959601 0.0379052
40,371463 0.0276304 0.95185 0.0476432
50,352069 0.0269016 0.941799 0.0555556
