Packet,Throughput,averageDelay,deliveryRatio,DropRatio
100,395597 0.0294707 0.969932 0.0276431
200,412985 0.0297519 0.979362 0.0201689
300,395994 0.0281547 0.970902 0.028128
400,409264 0.0298449 0.979177 0.0203502
500,406498 0.0290978 0.973934 0.0246445
