Node,Throughput,averageDelay,deliveryRatio,DropRatio
20,620477 , 0.00786112 , 0.998409 , 0
40,1.23243e+06 , 0.00755491 , 0.999038 , 0
60,1.6318e+06 , 0.00720975 , 0.998789 , 0
80,3.34225e+06 , 0.0052048 , 0.968145 , 0.0305947
100,3.16827e+06 , 0.0052048 , 0.968206 , 0.0305851
