Packet,Throughput,averageDelay,deliveryRatio,DropRatio
100,1.23246e+06 , 0.0075547 , 0.999038 , 0
200,1.23246e+06 , 0.00755491 , 0.999038 , 0
300,1.23243e+06 , 0.00755491 , 0.999038 , 0
400,1.23243e+06 , 0.00755506 , 0.999038 , 0
500,1.23243e+06 , 0.00755506 , 0.999038 , 0
