Flow,Throughput,averageDelay,deliveryRatio,DropRatio
10,1.23165e+06 , 0.00755319 , 0.999037 , 0
20,1.23243e+06 , 0.00755491 , 0.999038 , 0
30,1.23184e+06 , 0.00754814 , 0.999198 , 0
40,1.23049e+06 , 0.00754993 , 0.999036 , 0
50,1.23144e+06 , 0.00755223 , 0.999037 , 0
