Packet,Throughput,averageDelay,deliveryRatio,DropRatio
100,56175.6 , 0.0136376 , 0.972603 , 0.0273973
200,86241.9 , 0.0126399 , 0.975391 , 0.0246085
300,80504.7 , 0.012291 , 0.978365 , 0.0216346
400,64482.2 , 0.0134858 , 0.976048 , 0.0239521
500,86837 , 0.0133266 , 0.977728 , 0.0222717
