Packet,Throughput,averageDelay,deliveryRatio,DropRatio
100,1.1274e+06 , 0.00843077 , 0.999474 , 0.000175346
200,1.1274e+06 , 0.00843077 , 0.999474 , 0.000175346
300,1.1274e+06 , 0.00843077 , 0.999474 , 0.000175346
400,1.1274e+06 , 0.00843077 , 0.999474 , 0.000175346
500,1.1274e+06 , 0.00843077 , 0.999474 , 0.000175346
