Flow,Throughput,averageDelay,deliveryRatio,DropRatio
10,1.19307e+06 , 0.00807181 , 0.999172 , 0
20,1.1274e+06 , 0.00843077 , 0.999474 , 0.000175346
30,683362 , 0.00847457 , 0.998844 , 0.000867303
40,406654 , 0.00840665 , 0.99516 , 0.00435624
50,433555 , 0.00820375 , 0.996817 , 0.00318327
