Node,Throughput,averageDelay,deliveryRatio,DropRatio
20,654880 , 0.00901698 , 0.997289 , 0.00060241
40,1.1274e+06 , 0.00843077 , 0.999474 , 0.000175346
60,1.62761e+06 , 0.00735513 , 0.997817 , 0.000363769
80,3.31475e+06 , 0.00532014 , 0.968113 , 0.0306164
100,3.16799e+06 , 0.00530347 , 0.968204 , 0.030587
