Flow,Throughput,averageDelay,deliveryRatio,DropRatio
10,1.96106e+07 , 0.0108377 , 0.999373 , 0
20,1.67323e+07 , 0.0108401 , 0.999608 , 0
30,9.25096e+06 , 0.0108688 , 1 , 0
40,1.33965e+07 , 0.0108434 , 0.999083 , 0
50,1.39747e+07 , 0.0108421 , 1 , 0
