Packet,Throughput,averageDelay,deliveryRatio,DropRatio
100,5.67087e+06 , 0.0108342 , 0.999278 , 0
200,1.12215e+07 , 0.0108378 , 0.999416 , 0
300,1.67323e+07 , 0.0108401 , 0.999608 , 0
400,2.21909e+07 , 0.0108433 , 0.999705 , 0
500,2.76364e+07 , 0.0108457 , 0.999763 , 0
