Node,Throughput,averageDelay,deliveryRatio,DropRatio
20,1.15207e+07 , 0.0108448 , 0.999289 , 0
40,1.67323e+07 , 0.0108401 , 0.999608 , 0
60,1.2407e+07 , 0.0108437 , 0.99901 , 0
80,1.04927e+07 , 0.0108584 , 0.99883 , 0
100,747.759 , 0.010032 , 0.96875 , 0.03125
