Node,Throughput,averageDelay,deliveryRatio,DropRatio
20,4.20311e+06 0.0834499 0.973627 0.0235372
40,4.2221e+06 0.0828317 0.971 0.0240263
60,4.21489e+06 0.0832422 0.97095 0.024725
80,4.21244e+06 0.083549 0.971208 0.0243696
100,4.21191e+06 0.0847275 0.973037 0.024135
