Flow,Throughput,averageDelay,deliveryRatio,DropRatio
10,4.13964e+06 0.0764443 0.98443 0.0121643
20,4.21117e+06 0.0851503 0.972207 0.0228001
30,4.29153e+06 0.0905069 0.958462 0.0369933
40,4.32324e+06 0.090921 0.952006 0.0434355
50,4.3734e+06 0.0878848 0.942341 0.05321
